id,spaceCode,spaceName,floor
1389,4F421,401,4
1387,4F419,402,4
1385,4F417,403,4
1383,4F415,404,4
1404,4F436,405,4
1402,4F434,406,4
1400,4F432,407,4
1398,4F430,408,4
1396,4F428,409,4
1394,4F426,410,4
1405,4F437,411,4
1403,4F435,412,4
1401,4F433,413,4
1399,4F431,414,4
1397,4F429,415,4
1395,4F427,416,4
1279,4G443,417,4
1274,4G438,418,4
1280,4G444,419,4
1275,4G439,420,4
1281,4G445,421,4
1276,4G440,422,4
1282,4G446,423,4
1277,4G441,424,4
1283,4G447,425,4
1278,4G442,426,4
1284,4G448,427,4
1286,4G450,428,4
1288,4G452,429,4
1285,4G449,430,4
1287,4G451,431,4
1289,4G453,432,4
1290,4G454,433,4
1292,4G456,434,4
1294,4G458,435,4
1291,4G455,436,4
1293,4G457,437,4
1295,4G459,438,4
1296,4G460,439,4
1298,4G462,440,4
1300,4G464,441,4
1297,4G461,442,4
1299,4G463,443,4
1301,4G465,444,4
1302,4G466,445,4
1304,4G468,446,4
1306,4G470,447,4
1303,4G467,448,4
1305,4G469,449,4
1307,4G471,450,4
1308,4G472,451,4
1310,4G474,452,4
1312,4G476,453,4
1309,4G473,454,4
1311,4G475,455,4
1313,4G477,456,4
1314,4G478,457,4
1316,4G480,458,4
1318,4G482,459,4
1315,4G479,460,4
1317,4G481,461,4
1319,4G483,462,4
1320,4G484,463,4
1322,4G486,464,4
1324,4G488,465,4
1321,4G485,466,4
1323,4G487,467,4
1325,4G489,468,4
1326,4G490,469,4
1328,4G492,470,4
1330,4G494,471,4
1332,4G496,472,4
1333,4G497,473,4
1331,4G495,474,4
1329,4G493,475,4
1327,4G491,476,4
812,4O771,477,4
810,4O769,478,4
808,4O767,479,4
806,4O765,480,4
804,4O763,481,4
802,4O761,482,4
803,4O762,483,4
805,4O764,484,4
807,4O766,485,4
809,4O768,486,4
811,4O770,487,4
813,4O772,488,4
824,4O783,489,4
822,4O781,490,4
820,4O779,491,4
818,4O777,492,4
816,4O775,493,4
814,4O773,494,4
815,4O774,495,4
817,4O776,496,4
819,4O778,497,4
821,4O780,498,4
823,4O782,499,4
825,4O784,500,4
836,4O795,501,4
834,4O793,502,4
832,4O791,503,4
830,4O789,504,4
828,4O787,505,4
826,4O785,506,4
827,4O786,507,4
829,4O788,508,4
831,4O790,509,4
833,4O792,510,4
835,4O794,511,4
837,4O796,512,4
769,4N758,513,4
767,4N756,514,4
765,4N754,515,4
